Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773198478	0	9194	15588	0	433672	15685	0	135	0	0	0	0	0	0	0	2	2
1773198480	2	98851	105308	0	433672	15685	0	135	0	118	1	380	2	0	0	2	2
1773198482	4	98851	105308	0	433672	15685	0	135	0	118	1	380	2	0	0	2	2
1773198484	6	98851	105308	0	433672	15685	0	135	0	118	1	380	2	0	0	2	2
1773198486	8	98851	105308	0	433672	15685	0	135	0	311	3	851	5	0	0	2	2
1773198488	10	98851	105308	0	433672	15685	0	135	0	311	3	851	5	0	0	2	2
1773198490	12	98851	105308	0	433672	15685	0	135	0	602	5	1051	7	0	0	2	2
1773198492	14	98851	105308	0	433672	15685	0	135	0	602	5	1157	8	0	0	2	2
1773198494	16	98851	105308	0	433672	15685	0	135	0	720	6	2587	14	0	0	2	2
1773198496	18	98851	105308	0	433672	15685	0	135	0	1287	10	2955	18	0	0	2	2
1773198498	20	98851	105308	0	433672	15685	0	135	0	5765	22	7113	23	0	0	2	2
1773198500	22	98851	105308	0	433672	15685	0	135	0	82409	208	91661	172	0	0	2	2
1773198502	24	98851	105308	0	433672	15685	0	135	0	90849	257	124559	234	0	0	2	2
1773198504	26	98851	105308	0	433672	15685	0	135	0	98637	298	153468	281	0	0	2	2
1773198506	28	98851	105308	0	433672	15685	0	135	0	101236	319	165786	305	0	0	2	2
1773198508	30	98851	105308	0	433672	15685	0	135	0	101964	326	166444	312	0	0	2	2
1773198510	32	98851	105308	0	433672	15685	0	135	0	104620	342	172062	331	0	0	2	2
1773198512	34	98851	105308	0	433672	15685	0	135	0	106505	352	176650	345	0	0	2	2
1773198514	36	98851	105308	0	433672	15685	0	135	0	108167	362	177498	353	0	0	2	2
1773198516	38	98851	105308	0	433672	15685	0	135	0	111821	379	181760	368	0	0	2	2
1773198518	40	98851	105308	0	433672	15685	0	135	0	116545	418	468932	598	0	0	2	2
1773198520	42	98851	105308	0	433672	15685	0	135	0	119532	424	469034	599	0	0	2	2
1773198522	44	98851	105308	0	433672	15685	0	135	0	120515	430	469673	605	0	0	2	2
1773198524	46	98851	105308	0	433672	15685	0	135	0	122740	448	565542	687	0	0	2	2
1773198526	48	98851	105308	0	433672	15685	0	135	0	123936	454	570488	698	0	0	2	2
1773198528	50	98851	105308	0	433672	15685	0	135	0	123936	454	570488	698	0	0	2	2
1773198530	52	98851	105308	0	433672	15685	0	135	0	125373	461	574258	708	0	0	2	2
1773198532	54	98851	105308	0	433672	15685	0	135	0	125455	462	574258	708	0	0	2	2
1773198534	56	98851	105308	0	433672	15685	0	135	0	125691	464	574910	712	0	0	2	2
1773198536	58	98851	105308	0	433672	15685	0	135	0	125809	465	575290	714	0	0	2	2
1773198538	60	98851	105308	0	433672	15685	0	135	0	133824	504	589767	751	0	0	2	2
1773198540	62	98851	105308	0	433672	15685	0	135	0	136179	507	589965	753	0	0	2	2
1773198542	64	98851	105308	0	433672	15685	0	135	0	137671	516	602175	766	0	0	2	2
1773198544	66	98851	105308	0	433672	15685	0	135	0	150371	573	664473	846	0	0	2	2
1773198546	68	98851	105308	0	433672	15685	0	135	0	203571	730	784466	1019	0	0	2	2
