Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773204929	0	13425	19884	0	384844	16087	0	137	0	0	0	0	0	0	0	2	2
1773204931	2	74414	80936	0	384844	16087	0	137	0	591	5	767	6	0	0	2	2
1773204933	4	74414	80936	0	384844	16087	0	137	0	7887	23	4362	13	0	0	2	2
1773204935	6	74414	80936	0	384844	16087	0	137	0	9316	35	5749	23	0	0	2	2
1773204937	8	74414	80936	0	384844	16087	0	137	0	25084	72	23223	51	0	0	2	2
1773204939	10	74414	80936	0	384844	16087	0	137	0	85700	122	30329	86	0	0	2	2
1773204941	12	74414	80936	0	384844	16087	0	137	0	143810	175	32792	106	0	0	2	2
1773204943	14	74414	80936	0	384844	16087	0	137	0	143924	176	33088	108	0	0	2	2
1773204945	16	74414	80936	0	384844	16087	0	137	0	4114329	3376	84412	517	0	0	2	2
1773204947	18	74414	80936	0	384844	16087	0	137	0	4178899	3435	89491	542	0	0	2	2
1773204949	20	74413	80936	0	384844	16087	0	137	0	4180740	3444	92253	554	0	0	2	2
1773204951	22	74413	80936	0	384844	16087	0	137	0	4242554	3491	101097	581	0	0	2	2
1773204953	24	74413	80936	0	384844	16087	0	137	0	4301589	3538	105218	595	0	0	2	2
1773204955	26	74413	80936	0	384844	16087	0	137	0	7475593	5654	134395	929	0	0	2	2
1773204957	28	74413	80936	0	384844	16087	0	137	0	7532950	5705	135085	933	0	0	2	2
1773204959	30	74414	80936	0	384844	16087	0	137	0	7591132	5757	136048	938	0	0	2	2
1773204961	32	74414	80936	0	384844	16087	0	137	0	7591288	5759	136162	939	0	0	2	2
1773204963	34	74414	80936	0	384844	16087	0	137	0	7647423	5799	136790	945	0	0	2	2
1773204965	36	74414	80936	0	384844	16087	0	137	0	13469321	9676	152926	1126	0	0	2	2
1773204967	38	74414	80936	0	384844	16087	0	137	0	13469438	9678	153017	1127	0	0	2	2
1773204969	40	74414	80936	0	384844	16087	0	137	0	13527013	9727	159293	1168	0	0	2	2
1773204971	42	74414	80936	0	384844	16087	0	137	0	13584321	9771	162586	1204	0	0	2	2
1773204973	44	74414	80936	0	384844	16087	0	137	0	13584439	9772	162776	1205	0	0	2	2
1773204975	46	74414	80936	0	384844	16087	0	137	0	14060299	10100	177607	1371	0	0	2	2
1773204977	48	74414	80936	0	384844	16087	0	137	0	17977228	12716	194165	1557	0	0	2	2
1773204979	50	74414	80936	0	384844	16087	0	137	0	17977346	12717	194545	1559	0	0	2	2
1773204981	52	74414	80936	0	384844	16087	0	137	0	18033830	12761	195471	1568	0	0	2	2
1773204983	54	74414	80936	0	384844	16087	0	137	0	18088837	12801	196271	1576	0	0	2	2
1773204985	56	74414	80936	0	384844	16087	0	137	0	18089193	12803	196271	1576	0	0	2	2
1773204987	58	74414	80936	0	384844	16087	0	137	0	20378205	14337	202256	1643	0	0	2	2
1773204989	60	74414	80936	0	384844	16087	0	137	0	20435081	14380	203092	1649	0	0	2	2
1773204991	62	74414	80936	0	384844	16087	0	137	0	20435328	14382	203248	1651	0	0	2	2
1773204993	64	74414	80936	0	384844	16087	0	137	0	20492239	14434	204232	1657	0	0	2	2
1773204995	66	74414	80936	0	384844	16087	0	137	0	20549096	14482	205195	1662	0	0	2	2
1773204997	68	74414	80936	0	384844	16087	0	137	0	24065267	17318	209092	1696	0	0	2	2
1773204999	70	74414	80936	0	384844	16087	0	137	0	24121291	17360	210190	1707	0	0	2	2
1773205001	72	74414	80936	0	384844	16087	0	137	0	24177471	17405	211621	1717	0	0	2	2
1773205003	74	74414	80936	0	384844	16087	0	137	0	24177576	17406	211832	1719	0	0	2	2
1773205005	76	74414	80936	0	384844	16087	0	137	0	24233698	17447	212730	1728	0	0	2	2
1773205007	78	74414	80936	0	384844	16087	0	137	0	27406115	20005	217290	1768	0	0	2	2
1773205009	80	74414	80936	0	384844	16087	0	137	0	27406220	20006	217501	1770	0	0	2	2
1773205011	82	74414	80936	0	384844	16087	0	137	0	27463729	20056	218665	1777	0	0	2	2
1773205013	84	74414	80936	0	384844	16087	0	137	0	27520343	20106	219783	1785	0	0	2	2
1773205015	86	74414	80936	0	384844	16087	0	137	0	27520343	20106	219889	1786	0	0	2	2
1773205017	88	74414	80936	0	384844	16087	0	137	0	31639072	22852	228111	1878	0	0	2	2
1773205019	90	74414	80936	0	384844	16087	0	137	0	31695269	22895	229273	1889	0	0	2	2
1773205021	92	74414	80936	0	384844	16087	0	137	0	31695425	22897	229687	1892	0	0	2	2
1773205023	94	74414	80936	0	384844	16087	0	137	0	31751931	22938	230671	1902	0	0	2	2
1773205025	96	74414	80936	0	384844	16087	0	137	0	31807148	22978	231557	1911	0	0	2	2
1773205027	98	74414	80936	0	384844	16087	0	137	0	31807501	22982	232492	1917	0	0	2	2
1773205029	100	74414	80936	0	384844	16087	0	137	0	35164205	25229	239814	1995	0	0	2	2
1773205031	102	74414	80936	0	384844	16087	0	137	0	35221008	25279	240710	2001	0	0	2	2
1773205033	104	74414	80936	0	384844	16087	0	137	0	35221331	25281	241184	2004	0	0	2	2
1773205035	106	74414	80936	0	384844	16087	0	137	0	35277712	25322	241812	2010	0	0	2	2
1773205037	108	74414	80936	0	384844	16087	0	137	0	35334066	25364	242816	2020	0	0	2	2
1773205039	110	74414	80936	0	384844	16087	0	137	0	38929720	27760	251826	2123	0	0	2	2
1773205041	112	74414	80936	0	384844	16087	0	137	0	38985376	27803	252604	2128	0	0	2	2
1773205043	114	74414	80936	0	384844	16087	0	137	0	39041370	27844	253208	2134	0	0	2	2
1773205045	116	74414	80936	0	384844	16087	0	137	0	39041370	27844	253208	2134	0	0	2	2
1773205047	118	74414	80936	0	384844	16087	0	137	0	39097992	27895	254887	2144	0	0	2	2
1773205049	120	74414	80936	0	384844	16087	0	137	0	43721889	30993	265992	2267	0	0	2	2
1773205051	122	74414	80936	0	384844	16087	0	137	0	43721994	30994	266203	2269	0	0	2	2
1773205053	124	74414	80936	0	384844	16087	0	137	0	43778875	31040	267489	2280	0	0	2	2
1773205055	126	74414	80936	0	384844	16087	0	137	0	43834816	31082	268690	2291	0	0	2	2
1773205057	128	74414	80936	0	384844	16087	0	137	0	43834972	31084	268890	2293	0	0	2	2
1773205059	130	74414	80936	0	384844	16087	0	137	0	48529715	34867	274137	2338	0	0	2	2
1773205061	132	74414	80936	0	384844	16087	0	137	0	48586217	34910	275348	2350	0	0	2	2
1773205063	134	74414	80936	0	384844	16087	0	137	0	48586217	34910	275348	2350	0	0	2	2
1773205065	136	74414	80936	0	384844	16087	0	137	0	48642889	34960	276122	2354	0	0	2	2
1773205067	138	74414	80936	0	384844	16087	0	137	0	48699736	35010	277305	2362	0	0	2	2
1773205069	140	74414	80936	0	384844	16087	0	137	0	52945044	38434	281868	2402	0	0	2	2
1773205071	142	74414	80936	0	384844	16087	0	137	0	53001354	38476	282766	2411	0	0	2	2
1773205073	144	74414	80936	0	384844	16087	0	137	0	53057605	38518	283868	2420	0	0	2	2
1773205075	146	74414	80936	0	384844	16087	0	137	0	53057605	38518	283868	2420	0	0	2	2
1773205077	148	74414	80936	0	384844	16087	0	137	0	53113723	38563	284680	2428	0	0	2	2
1773205079	150	74414	80936	0	384844	16087	0	137	0	54945608	39789	289537	2480	0	0	2	2
1773205081	152	74414	80936	0	384844	16087	0	137	0	58411146	42096	295387	2546	0	0	2	2
1773205083	154	74414	80936	0	384844	16087	0	137	0	58467805	42146	296377	2552	0	0	2	2
1773205085	156	74414	80936	0	384844	16087	0	137	0	58524353	42195	297155	2556	0	0	2	2
1773205087	158	74414	80936	0	384844	16087	0	137	0	58524588	42198	297436	2558	0	0	2	2
1773205089	160	74414	80936	0	384844	16087	0	137	0	58580737	42241	297910	2561	0	0	2	2
1773205091	162	74414	80936	0	384844	16087	0	137	0	62514607	44861	305007	2641	0	0	2	2
1773205093	164	74414	80936	0	384844	16087	0	137	0	62515104	44865	305574	2645	0	0	2	2
1773205095	166	74414	80936	0	384844	16087	0	137	0	62571566	44906	306472	2654	0	0	2	2
1773205097	168	74414	80936	0	384844	16087	0	137	0	62627524	44946	307272	2662	0	0	2	2
1773205099	170	74414	80936	0	384844	16087	0	137	0	62627642	44947	307652	2664	0	0	2	2
1773205101	172	74414	80936	0	384844	16087	0	137	0	67865260	48444	317583	2773	0	0	2	2
1773205103	174	74414	80936	0	384844	16087	0	137	0	67921808	48493	318389	2778	0	0	2	2
1773205105	176	74414	80936	0	384844	16087	0	137	0	67922058	48496	319090	2783	0	0	2	2
1773205107	178	74414	80936	0	384844	16087	0	137	0	67981125	48547	320114	2793	0	0	2	2
1773205109	180	74414	80936	0	384844	16087	0	137	0	68038022	48590	320891	2800	0	0	2	2
1773205111	182	74414	80936	0	384844	16087	0	137	0	73084322	51952	330684	2909	0	0	2	2
1773205113	184	74414	80936	0	384844	16087	0	137	0	73140735	51997	331596	2917	0	0	2	2
1773205115	186	74414	80936	0	384844	16087	0	137	0	73196936	52040	332735	2927	0	0	2	2
1773205117	188	74414	80936	0	384844	16087	0	137	0	73196936	52040	332925	2928	0	0	2	2
1773205119	190	74414	80936	0	384844	16087	0	137	0	73253727	52089	333812	2933	0	0	2	2
1773205121	192	74414	80936	0	384844	16087	0	137	0	77221891	55304	340307	2986	0	0	2	2
1773205123	194	74414	80936	0	384844	16087	0	137	0	77222009	55305	340687	2988	0	0	2	2
1773205125	196	74414	80936	0	384844	16087	0	137	0	77278593	55347	341597	2997	0	0	2	2
1773205127	198	74414	80936	0	384844	16087	0	137	0	77334636	55391	342752	3008	0	0	2	2
1773205129	200	74414	80936	0	384844	16087	0	137	0	77334754	55392	343132	3010	0	0	2	2
1773205131	202	74414	80936	0	384844	16087	0	137	0	77334898	55394	343463	3012	0	0	2	2
1773205133	204	74414	80936	0	384844	16087	0	137	0	77342877	55412	351549	3026	0	0	2	2
1773205135	206	74414	80936	0	384844	16087	0	137	0	77342877	55412	351549	3026	0	0	2	2
1773205137	208	74414	80936	0	384844	16087	0	137	0	77342963	55413	351549	3026	0	0	2	2
